Breed;Age_in_years;Age_in_months;Gender;Neutered_or_spayed;Body_length;Weight;Fur_colour_dominant;Fur_pattern;Eye_colour;Allowed_outdoor;Preferred_food;Owner_play_time_minutes;Sleep_time_hours;Country;Latitude;Longitude
Angora;0.25;3;female;FALSE;19;2;white;solid;blue;FALSE;wet;46;16;France;43.296482;5.36978
Angora;0.33;4;male;FALSE;19;2.5;white;solid;blue;FALSE;wet;48;16;France;43.61166;3.87771
Angora;0.5;6;male;FALSE;20;2.8;black;solid;green;FALSE;wet;41;11;France;44.837789;-0.57918
Angora;0.5;6;female;FALSE;21;3;white;solid;blue;FALSE;wet;24;8;France;43.61166;3.87771
Angora;0.5;6;male;FALSE;21;3;red/cream;tabby;green;FALSE;wet;51;10;France;48.864716;2.349014
Angora;0.5;6;female;FALSE;21;3;white;solid;amber;FALSE;wet;30;10;France;43.61166;3.87771
Angora;0.58;7;male;FALSE;22;3;white;solid;amber;FALSE;wet;47;9;France;47.218371;-1.553621
Angora;0.58;7;male;FALSE;23;3;red/cream;solid;blue;FALSE;wet;55;11;France;47.218371;-1.553621
Angora;0.58;7;female;FALSE;25;3;black;tortie;blue;FALSE;wet;20;12;France;43.296482;5.36978
Angora;0.67;8;female;FALSE;25;3;white;solid;blue;FALSE;wet;33;17;France;44.837789;-0.57918
Angora;0.67;8;female;FALSE;26;3;black;solid;green;FALSE;wet;39;18;France;43.296482;5.36978
Angora;0.67;8;male;TRUE;26;3.3;white;solid;amber;FALSE;wet;38;19;France;43.61166;3.87771
Angora;0.75;9;male;TRUE;27;3.3;white;solid;amber;FALSE;wet;46;16;France;48.864716;2.349014
Angora;1.08;13;male;FALSE;28;3.2;white;solid;blue;FALSE;wet;35;14;France;45.76342;4.834277
Angora;1.33;16;male;TRUE;30;3.5;red/cream;tabby;blue;FALSE;dry;38;20;France;48.864716;2.349014
Angora;0.83;10;male;FALSE;31;3.4;white;solid;green;FALSE;dry;56;17;France;48.864716;2.349014
Angora;1.42;17;female;TRUE;31;3.9;white;solid;green;FALSE;wet;48;14;France;47.218371;-1.553621
Angora;0.92;11;female;TRUE;31;3.9;white;solid;amber;FALSE;wet;55;19;France;44.837789;-0.57918
